formula,problem,target_noise,predicted_tree,predicted_tree_prefix,refinement_type,time,relabed_predicted_tree,r2_fit,accuracy_l1_biggio_fit,accuracy_l1_1e-3_fit,accuracy_l1_1e-2_fit,accuracy_l1_1e-1_fit,_complexity_fit,r2_predict,accuracy_l1_biggio_predict,accuracy_l1_1e-3_predict,accuracy_l1_1e-2_predict,accuracy_l1_1e-1_predict,_complexity_predict,input_dimension,num_evals
q*h/(4*pi*m),feynman_II_34_29a,0,(((4.315124600266628e-08 add inv((2.5902006316733455 add (-2.590200915137194 add (0.8646636849805478 mul x_2))))) mul (0.0076616974540991084 add (0.002937593149115126 mul (-2.608154757341715 add (0.8678405211836053 mul x_1))))) mul (80.92741916997531 add (31.17310730327356 mul (-2.5960653199490658 add (0.8658160465207867 mul x_0))))),"mul,mul,add,4.315124600266628e-08,inv,add,2.5902006316733455,add,-2.590200915137194,mul,0.8646636849805478,x_2,add,0.0076616974540991084,mul,0.002937593149115126,add,-2.608154757341715,mul,0.8678405211836053,x_1,add,80.92741916997531,mul,31.17310730327356,add,-2.5960653199490658,mul,0.8658160465207867,x_0",BFGS,82.64136267,(((4.315124600266628e-08 add inv((2.5902006316733455 add (-2.590200915137194 add (0.8646636849805478 mul x_2))))) mul (0.0076616974540991084 add (0.002937593149115126 mul (-2.608154757341715 add (0.8678405211836053 mul x_1))))) mul (80.92741916997531 add (31.17310730327356 mul (-2.5960653199490658 add (0.8658160465207867 mul x_0))))),1,1,1,1,1,30,1,1,1,1,1,30,3,63
g_*mom*B*Jz/(h/(2*pi)),feynman_II_34_29b,0,((1.9899343802963716 add (0.7638447263277346 mul (-2.605155618267369 add (0.8671190139287164 mul x_4)))) mul (((-3.080153809420148e-11 add inv((2.607618110608911 add (-2.6076181104683287 add (0.8677583658836777 mul x_1))))) mul ((0.19242949410714957 add (0.07429907988220946 mul (-2.589931051819621 add (0.8632095560169538 mul x_0)))) mul (14.93831681248194 add (5.75710019800458 mul (-2.5947640824331097 add (0.864788431644084 mul x_2)))))) mul (77.42678594364816 add (29.683979832908133 mul (-2.6083694430149014 add (0.8684791997081319 mul x_3)))))),"mul,add,1.9899343802963716,mul,0.7638447263277346,add,-2.605155618267369,mul,0.8671190139287164,x_4,mul,mul,add,-3.080153809420148e-11,inv,add,2.607618110608911,add,-2.6076181104683287,mul,0.8677583658836777,x_1,mul,add,0.19242949410714957,mul,0.07429907988220946,add,-2.589931051819621,mul,0.8632095560169538,x_0,add,14.93831681248194,mul,5.75710019800458,add,-2.5947640824331097,mul,0.864788431644084,x_2,add,77.42678594364816,mul,29.683979832908133,add,-2.6083694430149014,mul,0.8684791997081319,x_3",BFGS,195.9317892,((1.9899343802963716 add (0.7638447263277346 mul (-2.605155618267369 add (0.8671190139287164 mul x_4)))) mul (((-3.080153809420148e-11 add inv((2.607618110608911 add (-2.6076181104683287 add (0.8677583658836777 mul x_1))))) mul ((0.19242949410714957 add (0.07429907988220946 mul (-2.589931051819621 add (0.8632095560169538 mul x_0)))) mul (14.93831681248194 add (5.75710019800458 mul (-2.5947640824331097 add (0.864788431644084 mul x_2)))))) mul (77.42678594364816 add (29.683979832908133 mul (-2.6083694430149014 add (0.8684791997081319 mul x_3)))))),1,1,1,1,1,50,1,1,1,1,1,50,5,103
q*v/(2*pi*r),feynman_II_34_2a,0,(((1.0175011181461933e-06 add inv((2.5933857081638627 add (-2.593388082081363 add (0.8650300710994272 mul x_2))))) mul (0.014931191795899895 add (0.005753361160818057 mul (-2.5952119062973202 add (0.864345943319294 mul x_1))))) mul (83.14814734847816 add (32.07573656152736 mul (-2.59224242703557 add (0.8631052610052966 mul x_0))))),"mul,mul,add,1.0175011181461933e-06,inv,add,2.5933857081638627,add,-2.593388082081363,mul,0.8650300710994272,x_2,add,0.014931191795899895,mul,0.005753361160818057,add,-2.5952119062973202,mul,0.864345943319294,x_1,add,83.14814734847816,mul,32.07573656152736,add,-2.59224242703557,mul,0.8631052610052966,x_0",BFGS,86.01846051,(((1.0175011181461933e-06 add inv((2.5933857081638627 add (-2.593388082081363 add (0.8650300710994272 mul x_2))))) mul (0.014931191795899895 add (0.005753361160818057 mul (-2.5952119062973202 add (0.864345943319294 mul x_1))))) mul (83.14814734847816 add (32.07573656152736 mul (-2.59224242703557 add (0.8631052610052966 mul x_0))))),1,1,1,1,1,30,1,1,1,1,1,30,3,63
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),feynman_II_35_18,0,((0.015453500542645129 add (0.015679829034197505 mul arctan(((0.7896120168662197 add (0.41904094275533094 mul (-3.469263504401978 add (1.7327332409529785 mul x_1)))) add ((-0.11038798313938265 add (0.4153559571740908 mul (-3.4689275376307567 add (1.735227289261023 mul x_2)))) add ((-0.2003879831421767 add ((1.9187200411918166 add ((-1.5089220007227784 add (-0.34380041974082387 mul (-3.4626499314958337 add (1.7286027848366405 mul x_4)))) mul (0.5943211912718201 add (0.13516779246330815 mul (-3.462355254411522 add (1.7316407652561647 mul x_3)))))))**2) sub (1.1103879831341024 add (-0.002793784671650112 mul (-3.4626499314958337 add (1.7286027848366405 mul x_4)))))))))) mul (28.88970929695509 add (8.333876375025278 mul (-3.4567156362243723 add (1.7299521402169897 mul x_0))))),"mul,add,0.015453500542645129,mul,0.015679829034197505,arctan,add,add,0.7896120168662197,mul,0.41904094275533094,add,-3.469263504401978,mul,1.7327332409529785,x_1,add,add,-0.11038798313938265,mul,0.4153559571740908,add,-3.4689275376307567,mul,1.735227289261023,x_2,sub,add,-0.2003879831421767,pow2,add,1.9187200411918166,mul,add,-1.5089220007227784,mul,-0.34380041974082387,add,-3.4626499314958337,mul,1.7286027848366405,x_4,add,0.5943211912718201,mul,0.13516779246330815,add,-3.462355254411522,mul,1.7316407652561647,x_3,add,1.1103879831341024,mul,-0.002793784671650112,add,-3.4626499314958337,mul,1.7286027848366405,x_4,add,28.88970929695509,mul,8.333876375025278,add,-3.4567156362243723,mul,1.7299521402169897,x_0",BFGS,332.4639318,((0.015453500542645129 add (0.015679829034197505 mul arctan(((0.7896120168662197 add (0.41904094275533094 mul (-3.469263504401978 add (1.7327332409529785 mul x_1)))) add ((-0.11038798313938265 add (0.4153559571740908 mul (-3.4689275376307567 add (1.735227289261023 mul x_2)))) add ((-0.2003879831421767 add ((1.9187200411918166 add ((-1.5089220007227784 add (-0.34380041974082387 mul (-3.4626499314958337 add (1.7286027848366405 mul x_4)))) mul (0.5943211912718201 add (0.13516779246330815 mul (-3.462355254411522 add (1.7316407652561647 mul x_3)))))))**2) sub (1.1103879831341024 add (-0.002793784671650112 mul (-3.4626499314958337 add (1.7286027848366405 mul x_4)))))))))) mul (28.88970929695509 add (8.333876375025278 mul (-3.4567156362243723 add (1.7299521402169897 mul x_0))))),0.991872149,0,0,0,0,69,0.991769576,0,0,0,0,69,5,157
n_rho*mom*tanh(mom*B/(kb*T)),feynman_II_35_21,0,((0.19840954591543322 add (0.08648981458265843 mul (-2.597456820379954 add (0.8643292857905911 mul x_1)))) mul (((2.7949512088425545 add (-2.605541302626999 add (0.8673725079914053 mul x_0))) add (-0.20504879115734032 add (-0.07368665888957608 mul (-2.5979581052524576 add (0.8667367275766971 mul x_4))))) mul (17.13625986094302 add (-0.0007591353413437999 mul ((((75.61616714379055 add (16.393017990849085 mul (-2.5979581052524576 add (0.8667367275766971 mul x_4)))) sub (-5.619167143791495 add (23.747563149168375 mul (-2.604971604750242 add (0.8667788945714846 mul x_2))))) sub ((-5.816167143791452 add (12.564509921252 mul (-2.597456820379954 add (0.8643292857905911 mul x_1)))) sub (5.636167143791173 add (-0.39618561574058553 mul ((7.253308551988804 add (-3.6811850921007614 mul (-2.595608983238459 add (0.8657907207986729 mul x_3)))))**2)))))**2)))),"mul,add,0.19840954591543322,mul,0.08648981458265843,add,-2.597456820379954,mul,0.8643292857905911,x_1,mul,add,add,2.7949512088425545,add,-2.605541302626999,mul,0.8673725079914053,x_0,add,-0.20504879115734032,mul,-0.07368665888957608,add,-2.5979581052524576,mul,0.8667367275766971,x_4,add,17.13625986094302,mul,-0.0007591353413437999,pow2,sub,sub,add,75.61616714379055,mul,16.393017990849085,add,-2.5979581052524576,mul,0.8667367275766971,x_4,add,-5.619167143791495,mul,23.747563149168375,add,-2.604971604750242,mul,0.8667788945714846,x_2,sub,add,-5.816167143791452,mul,12.564509921252,add,-2.597456820379954,mul,0.8643292857905911,x_1,add,5.636167143791173,mul,-0.39618561574058553,pow2,add,7.253308551988804,mul,-3.6811850921007614,add,-2.595608983238459,mul,0.8657907207986729,x_3",BFGS,350.8169479,((0.19840954591543322 add (0.08648981458265843 mul (-2.597456820379954 add (0.8643292857905911 mul x_1)))) mul (((2.7949512088425545 add (-2.605541302626999 add (0.8673725079914053 mul x_0))) add (-0.20504879115734032 add (-0.07368665888957608 mul (-2.5979581052524576 add (0.8667367275766971 mul x_4))))) mul (17.13625986094302 add (-0.0007591353413437999 mul ((((75.61616714379055 add (16.393017990849085 mul (-2.5979581052524576 add (0.8667367275766971 mul x_4)))) sub (-5.619167143791495 add (23.747563149168375 mul (-2.604971604750242 add (0.8667788945714846 mul x_2))))) sub ((-5.816167143791452 add (12.564509921252 mul (-2.597456820379954 add (0.8643292857905911 mul x_1)))) sub (5.636167143791173 add (-0.39618561574058553 mul ((7.253308551988804 add (-3.6811850921007614 mul (-2.595608983238459 add (0.8657907207986729 mul x_3)))))**2)))))**2)))),0.990799296,0,0,0,0,77,0.990739812,0,0,0,0,77,5,169
mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,feynman_II_36_38,0,((-0.027537597640099946 add (0.05252166417668355 mul (-3.4701131068001394 add (1.7331380680213935 mul x_1)))) sub ((-0.0023706350441018618 add (-0.0006695130109514113 mul (-3.460816804563684 add (1.7313635651037853 mul x_0)))) mul ((0.00013619500495616187 add (2.4148508741477883e-05 mul (-3.4701131068001394 add (1.7331380680213935 mul x_1)))) mul ((4.673926785743578 add (5.591522814118102 mul exp(((7.991941078822109 add (-0.8361767845753044 mul (-3.4590479049080067 add (1.7292521360257391 mul x_6)))) sub ((-0.11209509505415542 add (-0.004184817570217695 mul (-3.476318147010945 add (1.7354802664043474 mul x_5)))) mul ((-84.4890938629465 add (3.009422323572309 mul (-3.4704258561172385 add (1.7361990500148674 mul x_7)))) sub (4.479093885799607 add (-2.8931332020313936 mul (-3.4635783015927624 add (1.730121292642521 mul x_4)))))))))) mul (49.95050193367686 add (60.00790551010705 mul inv(((2.9286742028936496e-05 add (8.282888198424495e-06 mul (-3.468615492391749 add (1.7338000346551823 mul x_3)))) mul (2.8181091777736005 add (0.8198821289199604 mul (-3.4589773646972426 add (1.7306353811240265 mul x_2)))))))))))),"sub,add,-0.027537597640099946,mul,0.05252166417668355,add,-3.4701131068001394,mul,1.7331380680213935,x_1,mul,add,-0.0023706350441018618,mul,-0.0006695130109514113,add,-3.460816804563684,mul,1.7313635651037853,x_0,mul,add,0.00013619500495616187,mul,2.4148508741477883e-05,add,-3.4701131068001394,mul,1.7331380680213935,x_1,mul,add,4.673926785743578,mul,5.591522814118102,exp,sub,add,7.991941078822109,mul,-0.8361767845753044,add,-3.4590479049080067,mul,1.7292521360257391,x_6,mul,add,-0.11209509505415542,mul,-0.004184817570217695,add,-3.476318147010945,mul,1.7354802664043474,x_5,sub,add,-84.4890938629465,mul,3.009422323572309,add,-3.4704258561172385,mul,1.7361990500148674,x_7,add,4.479093885799607,mul,-2.8931332020313936,add,-3.4635783015927624,mul,1.730121292642521,x_4,add,49.95050193367686,mul,60.00790551010705,inv,mul,add,2.9286742028936496e-05,mul,8.282888198424495e-06,add,-3.468615492391749,mul,1.7338000346551823,x_3,add,2.8181091777736005,mul,0.8198821289199604,add,-3.4589773646972426,mul,1.7306353811240265,x_2",BFGS,774.1074171,((-0.027537597640099946 add (0.05252166417668355 mul (-3.4701131068001394 add (1.7331380680213935 mul x_1)))) sub ((-0.0023706350441018618 add (-0.0006695130109514113 mul (-3.460816804563684 add (1.7313635651037853 mul x_0)))) mul ((0.00013619500495616187 add (2.4148508741477883e-05 mul (-3.4701131068001394 add (1.7331380680213935 mul x_1)))) mul ((4.673926785743578 add (5.591522814118102 mul exp(((7.991941078822109 add (-0.8361767845753044 mul (-3.4590479049080067 add (1.7292521360257391 mul x_6)))) sub ((-0.11209509505415542 add (-0.004184817570217695 mul (-3.476318147010945 add (1.7354802664043474 mul x_5)))) mul ((-84.4890938629465 add (3.009422323572309 mul (-3.4704258561172385 add (1.7361990500148674 mul x_7)))) sub (4.479093885799607 add (-2.8931332020313936 mul (-3.4635783015927624 add (1.730121292642521 mul x_4)))))))))) mul (49.95050193367686 add (60.00790551010705 mul inv(((2.9286742028936496e-05 add (8.282888198424495e-06 mul (-3.468615492391749 add (1.7338000346551823 mul x_3)))) mul (2.8181091777736005 add (0.8198821289199604 mul (-3.4589773646972426 add (1.7306353811240265 mul x_2)))))))))))),0.990599501,0,0,0,0,99,0.990638525,0,0,0,0,99,8,217
mom*(1+chi)*B,feynman_II_37_1,0,(((2.5929655031032897 add (-2.5929654959646875 add (0.8646126685513328 mul x_1))) mul (0.20344162233893603 add (0.058546051502302236 mul (-2.6068927428600754 add (0.8680063735595811 mul x_2))))) mul (68.2088241421785 add (26.30337129212426 mul (-2.5931590064706795 add (0.8652596769454949 mul x_0))))),"mul,mul,add,2.5929655031032897,add,-2.5929654959646875,mul,0.8646126685513328,x_1,add,0.20344162233893603,mul,0.058546051502302236,add,-2.6068927428600754,mul,0.8680063735595811,x_2,add,68.2088241421785,mul,26.30337129212426,add,-2.5931590064706795,mul,0.8652596769454949,x_0",BFGS,61.49001479,(((2.5929655031032897 add (-2.5929654959646875 add (0.8646126685513328 mul x_1))) mul (0.20344162233893603 add (0.058546051502302236 mul (-2.6068927428600754 add (0.8680063735595811 mul x_2))))) mul (68.2088241421785 add (26.30337129212426 mul (-2.5931590064706795 add (0.8652596769454949 mul x_0))))),1,1,1,1,1,27,1,1,1,1,1,27,3,53
Y/(2*(1+sigma)),feynman_II_38_14,0,((0.014901888737728531 add (-9.000036146875962 mul inv((3.4844095202249843 add (-2.6023455780709774 add (0.8681021225687587 mul x_1)))))) mul (-0.1462735848025033 add (-0.05621210345909708 mul (-2.6020754793894834 add (0.8666537034691771 mul x_0))))),"mul,add,0.014901888737728531,mul,-9.000036146875962,inv,add,3.4844095202249843,add,-2.6023455780709774,mul,0.8681021225687587,x_1,add,-0.1462735848025033,mul,-0.05621210345909708,add,-2.6020754793894834,mul,0.8666537034691771,x_0",BFGS,58.16240549,((0.014901888737728531 add (-9.000036146875962 mul inv((3.4844095202249843 add (-2.6023455780709774 add (0.8681021225687587 mul x_1)))))) mul (-0.1462735848025033 add (-0.05621210345909708 mul (-2.6020754793894834 add (0.8666537034691771 mul x_0))))),0.999999119,1,0,1,1,22,0.999999122,1,0,1,1,22,2,51
Y*A*x/d,feynman_II_38_3,0,((1.152954607260178e-07 add (7.7103388984605905 mul inv((2.5968317600963795 add (-2.596831780207361 add (0.8659060634874925 mul x_2)))))) mul (((2.6063503295298727 add (-2.606350318159337 add (0.8686730657487202 mul x_0))) mul (0.022025041439368148 add (0.008462279964666213 mul (-2.602731356619602 add (0.8679542041527005 mul x_3))))) mul (52.74055187864951 add (20.26334851469212 mul (-2.6027558962893913 add (0.8686513689212155 mul x_1)))))),"mul,add,1.152954607260178e-07,mul,7.7103388984605905,inv,add,2.5968317600963795,add,-2.596831780207361,mul,0.8659060634874925,x_2,mul,mul,add,2.6063503295298727,add,-2.606350318159337,mul,0.8686730657487202,x_0,add,0.022025041439368148,mul,0.008462279964666213,add,-2.602731356619602,mul,0.8679542041527005,x_3,add,52.74055187864951,mul,20.26334851469212,add,-2.6027558962893913,mul,0.8686513689212155,x_1",BFGS,140.0697286,((1.152954607260178e-07 add (7.7103388984605905 mul inv((2.5968317600963795 add (-2.596831780207361 add (0.8659060634874925 mul x_2)))))) mul (((2.6063503295298727 add (-2.606350318159337 add (0.8686730657487202 mul x_0))) mul (0.022025041439368148 add (0.008462279964666213 mul (-2.602731356619602 add (0.8679542041527005 mul x_3))))) mul (52.74055187864951 add (20.26334851469212 mul (-2.6027558962893913 add (0.8686513689212155 mul x_1)))))),1,1,1,1,1,40,1,1,1,1,1,40,4,83
Pwr/(4*pi*r**2),feynman_II_3_24,0,((1.097630869118899e-07 add (4.22072363771679e-08 mul (-2.60057507224377 add (0.8673650456085642 mul x_0)))) mul (-0.19555041726376915 add (1.601582675208091 mul inv((-2.183576382730454e-12 add (1.1137396939049498e-07 mul ((7.709338195054799 add (2.9744476393166432 mul (-2.591853235676489 add (0.864719736301287 mul x_1)))))**2)))))),"mul,add,1.097630869118899e-07,mul,4.22072363771679e-08,add,-2.60057507224377,mul,0.8673650456085642,x_0,add,-0.19555041726376915,mul,1.601582675208091,inv,add,-2.183576382730454e-12,mul,1.1137396939049498e-07,pow2,add,7.709338195054799,mul,2.9744476393166432,add,-2.591853235676489,mul,0.864719736301287,x_1",BFGS,108.5283523,((1.097630869118899e-07 add (4.22072363771679e-08 mul (-2.60057507224377 add (0.8673650456085642 mul x_0)))) mul (-0.19555041726376915 add (1.601582675208091 mul inv((-2.183576382730454e-12 add (1.1137396939049498e-07 mul ((7.709338195054799 add (2.9744476393166432 mul (-2.591853235676489 add (0.864719736301287 mul x_1)))))**2)))))),1,1,1,1,1,29,1,1,1,1,1,29,2,77
q/(4*pi*epsilon*r),feynman_II_4_23,0,((2.069743119654565e-07 add (2.769130744185432e-08 mul (-2.609304096897928 add (0.8684898990726422 mul x_1)))) sub ((-1.7002059179466758e-06 add (-6.549841656761036e-07 mul (-2.5958070017292174 add (0.8666045920227038 mul x_0)))) mul (-0.19267208359096544 add (-0.8855197970475874 mul inv(((-6.916619214215729e-07 add (-2.665647182440032e-07 mul (-2.5947190795864934 add (0.8646820041958104 mul x_2)))) mul (82.3296445743827 add (31.552297312704965 mul (-2.609304096897928 add (0.8684898990726422 mul x_1)))))))))),"sub,add,2.069743119654565e-07,mul,2.769130744185432e-08,add,-2.609304096897928,mul,0.8684898990726422,x_1,mul,add,-1.7002059179466758e-06,mul,-6.549841656761036e-07,add,-2.5958070017292174,mul,0.8666045920227038,x_0,add,-0.19267208359096544,mul,-0.8855197970475874,inv,mul,add,-6.916619214215729e-07,mul,-2.665647182440032e-07,add,-2.5947190795864934,mul,0.8646820041958104,x_2,add,82.3296445743827,mul,31.552297312704965,add,-2.609304096897928,mul,0.8684898990726422,x_1",BFGS,176.5424721,((2.069743119654565e-07 add (2.769130744185432e-08 mul (-2.609304096897928 add (0.8684898990726422 mul x_1)))) sub ((-1.7002059179466758e-06 add (-6.549841656761036e-07 mul (-2.5958070017292174 add (0.8666045920227038 mul x_0)))) mul (-0.19267208359096544 add (-0.8855197970475874 mul inv(((-6.916619214215729e-07 add (-2.665647182440032e-07 mul (-2.5947190795864934 add (0.8646820041958104 mul x_2)))) mul (82.3296445743827 add (31.552297312704965 mul (-2.609304096897928 add (0.8684898990726422 mul x_1)))))))))),1,1,1,1,1,44,1,1,1,1,1,44,3,99
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,feynman_II_6_11,0,(((((3.496721607248926 add (-3.4676225723515124 add (1.733094456615656 mul x_1))) add (0.016721607250161613 add (0.009211627981288517 mul (-3.4676225723515124 add (1.733094456615656 mul x_1))))) mul ((-0.00032083084693884054 add ((0.002104401258174711 add (-0.013490804553385307 mul inv(((0.29634884336855494 add (-0.03888301463766097 mul (-3.455712073406776 add (1.7299311509310715 mul x_2)))) mul (-0.28608184766587946 add (-0.08276532758782557 mul (-3.459911741413634 add (1.7291490793227173 mul x_3)))))))))**2) mul (0.0001133438995489147 add (0.00015096238133866183 mul (-3.455712073406776 add (1.7299311509310715 mul x_2)))))) mul (0.2019681520077389 add (-0.06628558765747297 mul (-3.455712073406776 add (1.7299311509310715 mul x_2))))) mul (-0.029991815377983826 add (-9.00009313777414 mul inv((0.002278530686513789 add (0.0006578037450172784 mul (-3.4641443409198835 add (1.7337850514766118 mul x_0)))))))),"mul,mul,mul,add,add,3.496721607248926,add,-3.4676225723515124,mul,1.733094456615656,x_1,add,0.016721607250161613,mul,0.009211627981288517,add,-3.4676225723515124,mul,1.733094456615656,x_1,mul,add,-0.00032083084693884054,pow2,add,0.002104401258174711,mul,-0.013490804553385307,inv,mul,add,0.29634884336855494,mul,-0.03888301463766097,add,-3.455712073406776,mul,1.7299311509310715,x_2,add,-0.28608184766587946,mul,-0.08276532758782557,add,-3.459911741413634,mul,1.7291490793227173,x_3,add,0.0001133438995489147,mul,0.00015096238133866183,add,-3.455712073406776,mul,1.7299311509310715,x_2,add,0.2019681520077389,mul,-0.06628558765747297,add,-3.455712073406776,mul,1.7299311509310715,x_2,add,-0.029991815377983826,mul,-9.00009313777414,inv,add,0.002278530686513789,mul,0.0006578037450172784,add,-3.4641443409198835,mul,1.7337850514766118,x_0",BFGS,448.9095519,(((((3.496721607248926 add (-3.4676225723515124 add (1.733094456615656 mul x_1))) add (0.016721607250161613 add (0.009211627981288517 mul (-3.4676225723515124 add (1.733094456615656 mul x_1))))) mul ((-0.00032083084693884054 add ((0.002104401258174711 add (-0.013490804553385307 mul inv(((0.29634884336855494 add (-0.03888301463766097 mul (-3.455712073406776 add (1.7299311509310715 mul x_2)))) mul (-0.28608184766587946 add (-0.08276532758782557 mul (-3.459911741413634 add (1.7291490793227173 mul x_3)))))))))**2) mul (0.0001133438995489147 add (0.00015096238133866183 mul (-3.455712073406776 add (1.7299311509310715 mul x_2)))))) mul (0.2019681520077389 add (-0.06628558765747297 mul (-3.455712073406776 add (1.7299311509310715 mul x_2))))) mul (-0.029991815377983826 add (-9.00009313777414 mul inv((0.002278530686513789 add (0.0006578037450172784 mul (-3.4641443409198835 add (1.7337850514766118 mul x_0)))))))),0.999883591,1,0,0,0,80,0.999882512,1,0,0,0,80,4,179
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),feynman_II_6_15a,0,((-1.5183295106730708 add (-0.8048576634451989 mul (((-1.3023599870665732 add ((0.45297881120966677 add ((1.0438621340036005 add (0.15939192457878912 mul (-3.464038922549254 add (1.7285216916369002 mul x_1)))) mul (0.5193712646125416 add (0.07059973885816273 mul (-3.4639839207741234 add (1.73162012562828 mul x_0)))))) mul (2.377321594965563 add (-0.39409151622908206 mul (-3.4648567148418365 add (1.7314144144010255 mul x_2)))))) mul (0.9310689496402338 add (-0.48302589265849694 mul inv(((((3.981595176507898 add (-3.4639839207741234 add (1.73162012562828 mul x_0))) mul (-2.2001538938266894 add (0.1261728548121712 mul (-3.4607046124019876 add (1.73381940206332 mul x_4))))) mul (0.00667217363266442 add (0.0026172807157742502 mul (-3.4648567148418365 add (1.7314144144010255 mul x_2))))) mul (-2.2057793193576174 add (0.13347119739442634 mul (-3.464501104022663 add (1.7315819483898534 mul x_3))))))))))**2)) mul (-0.004661013631867518 add (-0.0013517369500783054 mul (-3.4589134532236283 add (1.7340624818786303 mul x_5))))),"mul,add,-1.5183295106730708,mul,-0.8048576634451989,pow2,mul,add,-1.3023599870665732,mul,add,0.45297881120966677,mul,add,1.0438621340036005,mul,0.15939192457878912,add,-3.464038922549254,mul,1.7285216916369002,x_1,add,0.5193712646125416,mul,0.07059973885816273,add,-3.4639839207741234,mul,1.73162012562828,x_0,add,2.377321594965563,mul,-0.39409151622908206,add,-3.4648567148418365,mul,1.7314144144010255,x_2,add,0.9310689496402338,mul,-0.48302589265849694,inv,mul,mul,mul,add,3.981595176507898,add,-3.4639839207741234,mul,1.73162012562828,x_0,add,-2.2001538938266894,mul,0.1261728548121712,add,-3.4607046124019876,mul,1.73381940206332,x_4,add,0.00667217363266442,mul,0.0026172807157742502,add,-3.4648567148418365,mul,1.7314144144010255,x_2,add,-2.2057793193576174,mul,0.13347119739442634,add,-3.464501104022663,mul,1.7315819483898534,x_3,add,-0.004661013631867518,mul,-0.0013517369500783054,add,-3.4589134532236283,mul,1.7340624818786303,x_5",BFGS,689.2685814,((-1.5183295106730708 add (-0.8048576634451989 mul (((-1.3023599870665732 add ((0.45297881120966677 add ((1.0438621340036005 add (0.15939192457878912 mul (-3.464038922549254 add (1.7285216916369002 mul x_1)))) mul (0.5193712646125416 add (0.07059973885816273 mul (-3.4639839207741234 add (1.73162012562828 mul x_0)))))) mul (2.377321594965563 add (-0.39409151622908206 mul (-3.4648567148418365 add (1.7314144144010255 mul x_2)))))) mul (0.9310689496402338 add (-0.48302589265849694 mul inv(((((3.981595176507898 add (-3.4639839207741234 add (1.73162012562828 mul x_0))) mul (-2.2001538938266894 add (0.1261728548121712 mul (-3.4607046124019876 add (1.73381940206332 mul x_4))))) mul (0.00667217363266442 add (0.0026172807157742502 mul (-3.4648567148418365 add (1.7314144144010255 mul x_2))))) mul (-2.2057793193576174 add (0.13347119739442634 mul (-3.464501104022663 add (1.7315819483898534 mul x_3))))))))))**2)) mul (-0.004661013631867518 add (-0.0013517369500783054 mul (-3.4589134532236283 add (1.7340624818786303 mul x_5))))),0.99751475,0,0,0,0,91,0.997466094,0,0,0,0,91,6,205
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,feynman_II_6_15b,0,((-0.025792054977645935 add (-0.007434931598093727 mul (-3.471091340439583 add (1.7350193451383318 mul x_1)))) mul (((0.09080063888626493 add inv((2.6741911160993506 add (-3.4638837794801804 add (1.7300178075504933 mul x_3))))) mul (0.0006231575318938285 add (0.035768152432159445 mul inv(((-0.2309676894513607 add (-0.06660880176636949 mul (-3.4626590819149947 add (1.730850667506615 mul x_0)))) mul (0.8899517232562751 add ((0.9006028235653889 add (0.160796458789247 mul (-3.4638837794801804 add (1.7300178075504933 mul x_3)))) mul (0.22709439178464347 add (0.6419116233998686 mul (-3.4638837794801804 add (1.7300178075504933 mul x_3))))))))))) mul (0.004717971661169043 add (-8.795618421813227 mul cos((0.7093241439569716 add (-1.1574593966192255 mul (-3.456653309948689 add (1.7271291761416285 mul x_2))))))))),"mul,add,-0.025792054977645935,mul,-0.007434931598093727,add,-3.471091340439583,mul,1.7350193451383318,x_1,mul,mul,add,0.09080063888626493,inv,add,2.6741911160993506,add,-3.4638837794801804,mul,1.7300178075504933,x_3,add,0.0006231575318938285,mul,0.035768152432159445,inv,mul,add,-0.2309676894513607,mul,-0.06660880176636949,add,-3.4626590819149947,mul,1.730850667506615,x_0,add,0.8899517232562751,mul,add,0.9006028235653889,mul,0.160796458789247,add,-3.4638837794801804,mul,1.7300178075504933,x_3,add,0.22709439178464347,mul,0.6419116233998686,add,-3.4638837794801804,mul,1.7300178075504933,x_3,add,0.004717971661169043,mul,-8.795618421813227,cos,add,0.7093241439569716,mul,-1.1574593966192255,add,-3.456653309948689,mul,1.7271291761416285,x_2",BFGS,370.8303659,((-0.025792054977645935 add (-0.007434931598093727 mul (-3.471091340439583 add (1.7350193451383318 mul x_1)))) mul (((0.09080063888626493 add inv((2.6741911160993506 add (-3.4638837794801804 add (1.7300178075504933 mul x_3))))) mul (0.0006231575318938285 add (0.035768152432159445 mul inv(((-0.2309676894513607 add (-0.06660880176636949 mul (-3.4626590819149947 add (1.730850667506615 mul x_0)))) mul (0.8899517232562751 add ((0.9006028235653889 add (0.160796458789247 mul (-3.4638837794801804 add (1.7300178075504933 mul x_3)))) mul (0.22709439178464347 add (0.6419116233998686 mul (-3.4638837794801804 add (1.7300178075504933 mul x_3))))))))))) mul (0.004717971661169043 add (-8.795618421813227 mul cos((0.7093241439569716 add (-1.1574593966192255 mul (-3.456653309948689 add (1.7271291761416285 mul x_2))))))))),0.999998895,1,0,0,1,72,0.999998952,1,0,0,1,72,4,167
