formula,problem,target_noise,predicted_tree,predicted_tree_prefix,refinement_type,time,relabed_predicted_tree,r2_fit,accuracy_l1_biggio_fit,accuracy_l1_1e-3_fit,accuracy_l1_1e-2_fit,accuracy_l1_1e-1_fit,_complexity_fit,r2_predict,accuracy_l1_biggio_predict,accuracy_l1_1e-3_predict,accuracy_l1_1e-2_predict,accuracy_l1_1e-1_predict,_complexity_predict,input_dimension,num_evals
???,strogatz_shearflow1,0,((((0.7438036241278283 add (0.6388034879734774 add (0.7234553896652759 mul x_1))) mul (0.2696562542514656 add (0.3602240877574303 mul sin((-0.2096698003373659 add (2.350617629386172 mul (0.6388034879734774 add (0.7234553896652759 mul x_1)))))))) mul (-5.393073829765053 add (2.977872537234904 mul arctan((4.844078705291933 add ((0.5065934520152566 add (0.6388034879734774 add (0.7234553896652759 mul x_1))) mul (((-0.16434427173098612 add (0.20622399091743185 add (0.3668683042877026 mul x_0))) add (0.14565572826924753 add (-2.3607274439244597 mul (0.6388034879734774 add (0.7234553896652759 mul x_1))))) mul (4.2457864440062725 add (6.098252223887251 mul (0.20622399091743185 add (0.3668683042877026 mul x_0))))))))))) add (0.028668351294066738 add (-0.0011335545591906091 mul (0.20622399091743185 add (0.3668683042877026 mul x_0))))),"add,mul,mul,add,0.7438036241278283,add,0.6388034879734774,mul,0.7234553896652759,x_1,add,0.2696562542514656,mul,0.3602240877574303,sin,add,-0.2096698003373659,mul,2.350617629386172,add,0.6388034879734774,mul,0.7234553896652759,x_1,add,-5.393073829765053,mul,2.977872537234904,arctan,add,4.844078705291933,mul,add,0.5065934520152566,add,0.6388034879734774,mul,0.7234553896652759,x_1,mul,add,add,-0.16434427173098612,add,0.20622399091743185,mul,0.3668683042877026,x_0,add,0.14565572826924753,mul,-2.3607274439244597,add,0.6388034879734774,mul,0.7234553896652759,x_1,add,4.2457864440062725,mul,6.098252223887251,add,0.20622399091743185,mul,0.3668683042877026,x_0,add,0.028668351294066738,mul,-0.0011335545591906091,add,0.20622399091743185,mul,0.3668683042877026,x_0",BFGS,398.7422488,((((0.7438036241278283 add (0.6388034879734774 add (0.7234553896652759 mul x_1))) mul (0.2696562542514656 add (0.3602240877574303 mul sin((-0.2096698003373659 add (2.350617629386172 mul (0.6388034879734774 add (0.7234553896652759 mul x_1)))))))) mul (-5.393073829765053 add (2.977872537234904 mul arctan((4.844078705291933 add ((0.5065934520152566 add (0.6388034879734774 add (0.7234553896652759 mul x_1))) mul (((-0.16434427173098612 add (0.20622399091743185 add (0.3668683042877026 mul x_0))) add (0.14565572826924753 add (-2.3607274439244597 mul (0.6388034879734774 add (0.7234553896652759 mul x_1))))) mul (4.2457864440062725 add (6.098252223887251 mul (0.20622399091743185 add (0.3668683042877026 mul x_0))))))))))) add (0.028668351294066738 add (-0.0011335545591906091 mul (0.20622399091743185 add (0.3668683042877026 mul x_0))))),0.972405862,0,0,0,0,75,0.973171233,0,0,0,0,75,2,174
???,strogatz_shearflow2,0,((0.0069191202690344995 add (-0.03596539813530358 mul (0.20622399091743185 add (0.3668683042877026 mul x_0)))) mul (6.024240204533034 add (-7.9259043874125705 mul exp((((-1.5629692149497283 add sin((((-0.03657914936861053 add (-0.19808680832618375 mul (0.6388034879734774 add (0.7234553896652759 mul x_1)))) add (0.07342085063147498 add (-3.3660868083257416 mul (0.6388034879734774 add (0.7234553896652759 mul x_1))))) sub (((0.28450382966692384 add (0.6388034879734774 add (0.7234553896652759 mul x_1))) add (0.31450382966799006 add (-1.2289128347091074 mul (0.20622399091743185 add (0.3668683042877026 mul x_0))))) mul (0.2962670897282596 add (-0.6437816693054019 mul (0.20622399091743185 add (0.3668683042877026 mul x_0)))))))) mul (0.15290566000707928 add (-0.12124019652933006 mul (0.20622399091743185 add (0.3668683042877026 mul x_0))))) mul (-5.665262618320055 add (-6.50163611578482 mul (0.20622399091743185 add (0.3668683042877026 mul x_0))))))))),"mul,add,0.0069191202690344995,mul,-0.03596539813530358,add,0.20622399091743185,mul,0.3668683042877026,x_0,add,6.024240204533034,mul,-7.9259043874125705,exp,mul,mul,add,-1.5629692149497283,sin,sub,add,add,-0.03657914936861053,mul,-0.19808680832618375,add,0.6388034879734774,mul,0.7234553896652759,x_1,add,0.07342085063147498,mul,-3.3660868083257416,add,0.6388034879734774,mul,0.7234553896652759,x_1,mul,add,add,0.28450382966692384,add,0.6388034879734774,mul,0.7234553896652759,x_1,add,0.31450382966799006,mul,-1.2289128347091074,add,0.20622399091743185,mul,0.3668683042877026,x_0,add,0.2962670897282596,mul,-0.6437816693054019,add,0.20622399091743185,mul,0.3668683042877026,x_0,add,0.15290566000707928,mul,-0.12124019652933006,add,0.20622399091743185,mul,0.3668683042877026,x_0,add,-5.665262618320055,mul,-6.50163611578482,add,0.20622399091743185,mul,0.3668683042877026,x_0",BFGS,397.0536969,((0.0069191202690344995 add (-0.03596539813530358 mul (0.20622399091743185 add (0.3668683042877026 mul x_0)))) mul (6.024240204533034 add (-7.9259043874125705 mul exp((((-1.5629692149497283 add sin((((-0.03657914936861053 add (-0.19808680832618375 mul (0.6388034879734774 add (0.7234553896652759 mul x_1)))) add (0.07342085063147498 add (-3.3660868083257416 mul (0.6388034879734774 add (0.7234553896652759 mul x_1))))) sub (((0.28450382966692384 add (0.6388034879734774 add (0.7234553896652759 mul x_1))) add (0.31450382966799006 add (-1.2289128347091074 mul (0.20622399091743185 add (0.3668683042877026 mul x_0))))) mul (0.2962670897282596 add (-0.6437816693054019 mul (0.20622399091743185 add (0.3668683042877026 mul x_0)))))))) mul (0.15290566000707928 add (-0.12124019652933006 mul (0.20622399091743185 add (0.3668683042877026 mul x_0))))) mul (-5.665262618320055 add (-6.50163611578482 mul (0.20622399091743185 add (0.3668683042877026 mul x_0))))))))),0.986038026,0,0,0,0,85,0.98644412,0,0,0,0,85,2,179
???,strogatz_vdp1,0,((-40.73517775839597 add (-26.499321913929137 mul (-0.6094416635175517 add (1.1182066171417189 mul x_0)))) sub ((-3.2454907237121056 add (-0.6094416635175517 add (1.1182066171417189 mul x_0))) mul (((7.761313609596753 add ((2.5786802337454753 add (-0.6094416635175517 add (1.1182066171417189 mul x_0))))**2) mul (((15.957778241813505 add (-0.40448119698497476 add (3.7070215776755555 mul x_1))) add (17.85777823275404 add (-0.6094416635175517 add (1.1182066171417189 mul x_0)))) mul (0.06541520000195308 add (-0.00024003026217528104 mul (-0.40448119698497476 add (3.7070215776755555 mul x_1)))))) sub (18.62410483929913 add (-51.24502533211042 mul exp((-76.19717271688918 add (-6.12386378884225 mul ((6.780099273494591 add (-3.4564539142836908 mul (-0.6094416635175517 add (1.1182066171417189 mul x_0)))))**2)))))))),"sub,add,-40.73517775839597,mul,-26.499321913929137,add,-0.6094416635175517,mul,1.1182066171417189,x_0,mul,add,-3.2454907237121056,add,-0.6094416635175517,mul,1.1182066171417189,x_0,sub,mul,add,7.761313609596753,pow2,add,2.5786802337454753,add,-0.6094416635175517,mul,1.1182066171417189,x_0,mul,add,add,15.957778241813505,add,-0.40448119698497476,mul,3.7070215776755555,x_1,add,17.85777823275404,add,-0.6094416635175517,mul,1.1182066171417189,x_0,add,0.06541520000195308,mul,-0.00024003026217528104,add,-0.40448119698497476,mul,3.7070215776755555,x_1,add,18.62410483929913,mul,-51.24502533211042,exp,add,-76.19717271688918,mul,-6.12386378884225,pow2,add,6.780099273494591,mul,-3.4564539142836908,add,-0.6094416635175517,mul,1.1182066171417189,x_0",BFGS,460.3576579,((-40.73517775839597 add (-26.499321913929137 mul (-0.6094416635175517 add (1.1182066171417189 mul x_0)))) sub ((-3.2454907237121056 add (-0.6094416635175517 add (1.1182066171417189 mul x_0))) mul (((7.761313609596753 add ((2.5786802337454753 add (-0.6094416635175517 add (1.1182066171417189 mul x_0))))**2) mul (((15.957778241813505 add (-0.40448119698497476 add (3.7070215776755555 mul x_1))) add (17.85777823275404 add (-0.6094416635175517 add (1.1182066171417189 mul x_0)))) mul (0.06541520000195308 add (-0.00024003026217528104 mul (-0.40448119698497476 add (3.7070215776755555 mul x_1)))))) sub (18.62410483929913 add (-51.24502533211042 mul exp((-76.19717271688918 add (-6.12386378884225 mul ((6.780099273494591 add (-3.4564539142836908 mul (-0.6094416635175517 add (1.1182066171417189 mul x_0)))))**2)))))))),0.997377939,0,0,0,0,74,0.996573909,0,0,0,0,74,2,157
???,strogatz_vdp2,0,((0.05726858176978081 add (0.09395270431713001 mul (-0.6094416635175517 add (1.1182066171417189 mul x_0)))) mul (-0.9518108667168826 add (-4.353184693893931e-06 mul (-0.40448119698497476 add (3.7070215776755555 mul x_1))))),"mul,add,0.05726858176978081,mul,0.09395270431713001,add,-0.6094416635175517,mul,1.1182066171417189,x_0,add,-0.9518108667168826,mul,-4.353184693893931e-06,add,-0.40448119698497476,mul,3.7070215776755555,x_1",BFGS,39.9064436,((0.05726858176978081 add (0.09395270431713001 mul (-0.6094416635175517 add (1.1182066171417189 mul x_0)))) mul (-0.9518108667168826 add (-4.353184693893931e-06 mul (-0.40448119698497476 add (3.7070215776755555 mul x_1))))),0.999999992,1,1,1,1,19,0.999999992,1,1,1,1,19,2,41
???,strogatz_bacres1,0.001,(((0.05363385941950424 add (-0.010036326669867425 mul (-6.57270992203568 add (0.47561917438268325 mul x_0)))) mul ((136.32835595528897 add (-35.70930448783014 mul (-2.9209836654597594 add (0.07553997603322433 mul x_1)))) add (46.33135596728423 add (11.109080209095985 mul (-6.57270992203568 add (0.47561917438268325 mul x_0)))))) sub (9.150303313410529 add (-0.053861529165757496 mul sin((-2.1561827092206003 add (3.2919986126454623 mul (-2.9209836654597594 add (0.07553997603322433 mul x_1)))))))),"sub,mul,add,0.05363385941950424,mul,-0.010036326669867425,add,-6.57270992203568,mul,0.47561917438268325,x_0,add,add,136.32835595528897,mul,-35.70930448783014,add,-2.9209836654597594,mul,0.07553997603322433,x_1,add,46.33135596728423,mul,11.109080209095985,add,-6.57270992203568,mul,0.47561917438268325,x_0,add,9.150303313410529,mul,-0.053861529165757496,sin,add,-2.1561827092206003,mul,3.2919986126454623,add,-2.9209836654597594,mul,0.07553997603322433,x_1",BFGS,87.27868819,(((0.05363385941950424 add (-0.010036326669867425 mul (-6.57270992203568 add (0.47561917438268325 mul x_0)))) mul ((136.32835595528897 add (-35.70930448783014 mul (-2.9209836654597594 add (0.07553997603322433 mul x_1)))) add (46.33135596728423 add (11.109080209095985 mul (-6.57270992203568 add (0.47561917438268325 mul x_0)))))) sub (9.150303313410529 add (-0.053861529165757496 mul sin((-2.1561827092206003 add (3.2919986126454623 mul (-2.9209836654597594 add (0.07553997603322433 mul x_1)))))))),0.999914848,0,0,0,1,44,0.997858345,0,0,0,0,44,2,99
???,strogatz_bacres2,0.001,(9.559884791179748 add ((0.45988479118345177 add (-0.005719508219087151 mul (-6.57270992203568 add (0.47561917438268325 mul x_0)))) add ((-0.006228167178932902 add (1.115712386742657 mul inv((6.946619364627359 add (-6.57270992203568 add (0.47561917438268325 mul x_0)))))) mul (-36.005821542294875 add (-12.276427252188277 mul (-2.9209836654597594 add (0.07553997603322433 mul x_1))))))),"add,9.559884791179748,add,add,0.45988479118345177,mul,-0.005719508219087151,add,-6.57270992203568,mul,0.47561917438268325,x_0,mul,add,-0.006228167178932902,mul,1.115712386742657,inv,add,6.946619364627359,add,-6.57270992203568,mul,0.47561917438268325,x_0,add,-36.005821542294875,mul,-12.276427252188277,add,-2.9209836654597594,mul,0.07553997603322433,x_1",BFGS,87.78205109,(9.559884791179748 add ((0.45988479118345177 add (-0.005719508219087151 mul (-6.57270992203568 add (0.47561917438268325 mul x_0)))) add ((-0.006228167178932902 add (1.115712386742657 mul inv((6.946619364627359 add (-6.57270992203568 add (0.47561917438268325 mul x_0)))))) mul (-36.005821542294875 add (-12.276427252188277 mul (-2.9209836654597594 add (0.07553997603322433 mul x_1))))))),0.999994552,1,0,1,1,34,0.999933194,1,0,1,1,34,2,79
???,strogatz_barmag1,0.001,(((0.0620410210704565 add (0.02087244707775286 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))) sub (-0.11204102096380032 add (-0.03103909884588032 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))) sub ((-0.0020040815867428258 add (-0.0054239487829530995 mul arctan((-0.3366215447672914 add (-13.862280500998375 add (2.4571995904831536 mul x_0)))))) mul (((0.743025617266521 mul inv(((0.0027578354577171547 add (-0.005330746873572363 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))) mul (-1.447119601404343 add (-0.3869252289247481 mul ((0.7637178590362598 add ((0.16371786362648882 add (4.898731975751602 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))) sub (0.03628213757930203 add (-0.2895564606295832 mul (-13.862280500998375 add (2.4571995904831536 mul x_0)))))))**2))))) sub (1.261992782561398 add (21.9639945809814 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1))))) add (-30.36199282419299 add (22.826665025952334 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))))),"sub,sub,add,0.0620410210704565,mul,0.02087244707775286,add,-0.7814648671307372,mul,0.39259884293192854,x_1,add,-0.11204102096380032,mul,-0.03103909884588032,add,-13.862280500998375,mul,2.4571995904831536,x_0,mul,add,-0.0020040815867428258,mul,-0.0054239487829530995,arctan,add,-0.3366215447672914,add,-13.862280500998375,mul,2.4571995904831536,x_0,add,sub,mul,0.743025617266521,inv,mul,add,0.0027578354577171547,mul,-0.005330746873572363,add,-0.7814648671307372,mul,0.39259884293192854,x_1,add,-1.447119601404343,mul,-0.3869252289247481,pow2,add,0.7637178590362598,sub,add,0.16371786362648882,mul,4.898731975751602,add,-0.7814648671307372,mul,0.39259884293192854,x_1,add,0.03628213757930203,mul,-0.2895564606295832,add,-13.862280500998375,mul,2.4571995904831536,x_0,add,1.261992782561398,mul,21.9639945809814,add,-0.7814648671307372,mul,0.39259884293192854,x_1,add,-30.36199282419299,mul,22.826665025952334,add,-13.862280500998375,mul,2.4571995904831536,x_0",BFGS,361.8113539,(((0.0620410210704565 add (0.02087244707775286 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))) sub (-0.11204102096380032 add (-0.03103909884588032 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))) sub ((-0.0020040815867428258 add (-0.0054239487829530995 mul arctan((-0.3366215447672914 add (-13.862280500998375 add (2.4571995904831536 mul x_0)))))) mul (((0.743025617266521 mul inv(((0.0027578354577171547 add (-0.005330746873572363 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))) mul (-1.447119601404343 add (-0.3869252289247481 mul ((0.7637178590362598 add ((0.16371786362648882 add (4.898731975751602 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))) sub (0.03628213757930203 add (-0.2895564606295832 mul (-13.862280500998375 add (2.4571995904831536 mul x_0)))))))**2))))) sub (1.261992782561398 add (21.9639945809814 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1))))) add (-30.36199282419299 add (22.826665025952334 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))))),0.998415935,0,0,0,0,92,0.995872126,0,0,0,0,92,2,205
???,strogatz_barmag2,0.001,(0.4355090866744735 add (2.275350768328718 mul arctan(((-0.7579307520727746 add (0.008255391872779181 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))) sub ((((0.0007513321282198805 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))) add (0.3620280393215544 add (0.05075133212879689 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))) add (0.4520280393314104 add ((-1.0329779050737766 add (0.030449348919636444 mul (-13.862280500998375 add (2.4571995904831536 mul x_0)))) mul (((0.19712173683036865 add ((-1.1028249137990482 add (-0.7814648671307372 add (0.39259884293192854 mul x_1))))**2) mul (0.12173318233774282 add (-0.8059254509701236 mul inv((-0.8539069353715723 add (-0.17725117615283853 mul ((-1.376304869768139 add (2.839707977917267 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))))**2)))))) mul (0.5739307705579016 add (0.4877699449089034 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))))))) mul (-1.3623782840503382 add (0.30682090528415445 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))))))),"add,0.4355090866744735,mul,2.275350768328718,arctan,sub,add,-0.7579307520727746,mul,0.008255391872779181,add,-0.7814648671307372,mul,0.39259884293192854,x_1,mul,add,add,mul,0.0007513321282198805,add,-13.862280500998375,mul,2.4571995904831536,x_0,add,0.3620280393215544,mul,0.05075133212879689,add,-13.862280500998375,mul,2.4571995904831536,x_0,add,0.4520280393314104,mul,add,-1.0329779050737766,mul,0.030449348919636444,add,-13.862280500998375,mul,2.4571995904831536,x_0,mul,mul,add,0.19712173683036865,pow2,add,-1.1028249137990482,add,-0.7814648671307372,mul,0.39259884293192854,x_1,add,0.12173318233774282,mul,-0.8059254509701236,inv,add,-0.8539069353715723,mul,-0.17725117615283853,pow2,add,-1.376304869768139,mul,2.839707977917267,add,-0.7814648671307372,mul,0.39259884293192854,x_1,add,0.5739307705579016,mul,0.4877699449089034,add,-0.7814648671307372,mul,0.39259884293192854,x_1,add,-1.3623782840503382,mul,0.30682090528415445,add,-13.862280500998375,mul,2.4571995904831536,x_0",BFGS,399.6652591,(0.4355090866744735 add (2.275350768328718 mul arctan(((-0.7579307520727746 add (0.008255391872779181 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))) sub ((((0.0007513321282198805 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))) add (0.3620280393215544 add (0.05075133212879689 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))) add (0.4520280393314104 add ((-1.0329779050737766 add (0.030449348919636444 mul (-13.862280500998375 add (2.4571995904831536 mul x_0)))) mul (((0.19712173683036865 add ((-1.1028249137990482 add (-0.7814648671307372 add (0.39259884293192854 mul x_1))))**2) mul (0.12173318233774282 add (-0.8059254509701236 mul inv((-0.8539069353715723 add (-0.17725117615283853 mul ((-1.376304869768139 add (2.839707977917267 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))))**2)))))) mul (0.5739307705579016 add (0.4877699449089034 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))))))) mul (-1.3623782840503382 add (0.30682090528415445 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))))))),0.999976301,1,0,0,1,95,0.998134776,1,0,0,1,95,2,215
???,strogatz_glider1,0.001,(((0.006447046597235626 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0))) mul (-38.24060215077793 add (-9.320433408021565 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0))))) add (-0.2525548245206203 add (-0.9999079057219857 mul cos((0.27280183928409524 add (-7.176713437976725 mul (-1.9318255908811444 add (0.1393370535564696 mul x_1)))))))),"add,mul,mul,0.006447046597235626,add,-2.0499339095728217,mul,0.9120493798087249,x_0,add,-38.24060215077793,mul,-9.320433408021565,add,-2.0499339095728217,mul,0.9120493798087249,x_0,add,-0.2525548245206203,mul,-0.9999079057219857,cos,add,0.27280183928409524,mul,-7.176713437976725,add,-1.9318255908811444,mul,0.1393370535564696,x_1",BFGS,52.49776292,(((0.006447046597235626 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0))) mul (-38.24060215077793 add (-9.320433408021565 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0))))) add (-0.2525548245206203 add (-0.9999079057219857 mul cos((0.27280183928409524 add (-7.176713437976725 mul (-1.9318255908811444 add (0.1393370535564696 mul x_1)))))))),0.999998968,1,0,1,1,32,0.999999969,1,1,1,1,32,2,71
???,strogatz_glider2,0.001,(((2.050034499529752 add (-2.0499339095728217 add (0.9120493798087249 mul x_0))) add ((((0.0007063752860019685 add inv((2.049910394464065 add (-2.0499339095728217 add (0.9120493798087249 mul x_0))))) mul (-4.851735145350779 add (0.0009138931719685022 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0))))) mul (0.012229687956120203 add (-9.650645128731267e-07 mul (-1.9318255908811444 add (0.1393370535564696 mul x_1))))) mul (0.0002045401426369616 add (-14.007280616277303 mul sin((-0.2730031590784273 add (7.17642953517734 mul (-1.9318255908811444 add (0.1393370535564696 mul x_1))))))))) mul (1.0963218252916342 add (-0.00010495255011306123 mul (-1.9318255908811444 add (0.1393370535564696 mul x_1))))),"mul,add,add,2.050034499529752,add,-2.0499339095728217,mul,0.9120493798087249,x_0,mul,mul,mul,add,0.0007063752860019685,inv,add,2.049910394464065,add,-2.0499339095728217,mul,0.9120493798087249,x_0,add,-4.851735145350779,mul,0.0009138931719685022,add,-2.0499339095728217,mul,0.9120493798087249,x_0,add,0.012229687956120203,mul,-9.650645128731267e-07,add,-1.9318255908811444,mul,0.1393370535564696,x_1,add,0.0002045401426369616,mul,-14.007280616277303,sin,add,-0.2730031590784273,mul,7.17642953517734,add,-1.9318255908811444,mul,0.1393370535564696,x_1,add,1.0963218252916342,mul,-0.00010495255011306123,add,-1.9318255908811444,mul,0.1393370535564696,x_1",BFGS,164.9953694,(((2.050034499529752 add (-2.0499339095728217 add (0.9120493798087249 mul x_0))) add ((((0.0007063752860019685 add inv((2.049910394464065 add (-2.0499339095728217 add (0.9120493798087249 mul x_0))))) mul (-4.851735145350779 add (0.0009138931719685022 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0))))) mul (0.012229687956120203 add (-9.650645128731267e-07 mul (-1.9318255908811444 add (0.1393370535564696 mul x_1))))) mul (0.0002045401426369616 add (-14.007280616277303 mul sin((-0.2730031590784273 add (7.17642953517734 mul (-1.9318255908811444 add (0.1393370535564696 mul x_1))))))))) mul (1.0963218252916342 add (-0.00010495255011306123 mul (-1.9318255908811444 add (0.1393370535564696 mul x_1))))),0.999993722,1,0,1,1,63,0.999999698,1,1,1,1,63,2,133
???,strogatz_lv1,0.001,((-0.03476979316311694 add (0.02253462617462801 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) mul (15.361730128471786 add (-13.615090462232272 mul (((-0.025207618813247214 add (0.004260208027915927 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0)))) mul ((-18.42987625084977 add (-92.47349726313163 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) add ((0.03266228231028182 add (0.09385976907188186 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) mul ((-3.7829784211627198 add (-10.870938235627497 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) mul (-8.185156476089524 add (55.16380344232262 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0)))))))))**2))),"mul,add,-0.03476979316311694,mul,0.02253462617462801,add,-1.8787597109913827,mul,1.2747367038684159,x_1,add,15.361730128471786,mul,-13.615090462232272,pow2,mul,add,-0.025207618813247214,mul,0.004260208027915927,add,-0.6384378417199078,mul,0.8192860303268586,x_0,add,add,-18.42987625084977,mul,-92.47349726313163,add,-1.8787597109913827,mul,1.2747367038684159,x_1,mul,add,0.03266228231028182,mul,0.09385976907188186,add,-1.8787597109913827,mul,1.2747367038684159,x_1,mul,add,-3.7829784211627198,mul,-10.870938235627497,add,-1.8787597109913827,mul,1.2747367038684159,x_1,add,-8.185156476089524,mul,55.16380344232262,add,-0.6384378417199078,mul,0.8192860303268586,x_0",BFGS,156.251724,((-0.03476979316311694 add (0.02253462617462801 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) mul (15.361730128471786 add (-13.615090462232272 mul (((-0.025207618813247214 add (0.004260208027915927 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0)))) mul ((-18.42987625084977 add (-92.47349726313163 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) add ((0.03266228231028182 add (0.09385976907188186 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) mul ((-3.7829784211627198 add (-10.870938235627497 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) mul (-8.185156476089524 add (55.16380344232262 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0)))))))))**2))),0.057077778,0,0,0,0,64,0,0,0,0,0,64,2,139
???,strogatz_lv2,0.001,(((-2.2193141692162337 add (-1.1812111616005 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) mul ((0.08901619824450654 add (0.5209799922330106 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) sub (-0.07901619824450634 add (-0.8105872527949122 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0)))))) sub (1.5346587201835792e-05 add (-2.008292761562525e-05 mul tan((0.25624201009011943 add (-0.6384378417199078 add (0.8192860303268586 mul x_0))))))),"sub,mul,add,-2.2193141692162337,mul,-1.1812111616005,add,-1.8787597109913827,mul,1.2747367038684159,x_1,sub,add,0.08901619824450654,mul,0.5209799922330106,add,-1.8787597109913827,mul,1.2747367038684159,x_1,add,-0.07901619824450634,mul,-0.8105872527949122,add,-0.6384378417199078,mul,0.8192860303268586,x_0,add,1.5346587201835792e-05,mul,-2.008292761562525e-05,tan,add,0.25624201009011943,add,-0.6384378417199078,mul,0.8192860303268586,x_0",BFGS,98.85246968,(((-2.2193141692162337 add (-1.1812111616005 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) mul ((0.08901619824450654 add (0.5209799922330106 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) sub (-0.07901619824450634 add (-0.8105872527949122 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0)))))) sub (1.5346587201835792e-05 add (-2.008292761562525e-05 mul tan((0.25624201009011943 add (-0.6384378417199078 add (0.8192860303268586 mul x_0))))))),0.999998972,0,0,0,0,42,0.99992406,1,0,0,0,42,2,91
???,strogatz_predprey1,0.001,(-8.66121185493387e-05 add (0.6316857189615019 mul inv(((0.010331099322645386 add (0.00894421997346179 mul inv((0.8167587078143682 add (-0.8168214252377938 add (0.8665825418917138 mul x_0)))))) mul (-8.806534887938112e-05 add (-0.5787544288186037 mul inv((((-0.00042015873629550375 mul (-0.8168214252377938 add (0.8665825418917138 mul x_0))) mul (28.998003553497693 add (-30.002040329201677 mul (-0.8168214252377938 add (0.8665825418917138 mul x_0))))) add (-0.009644552635993064 add (0.02443530275350663 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))))))))))),"add,-8.66121185493387e-05,mul,0.6316857189615019,inv,mul,add,0.010331099322645386,mul,0.00894421997346179,inv,add,0.8167587078143682,add,-0.8168214252377938,mul,0.8665825418917138,x_0,add,-8.806534887938112e-05,mul,-0.5787544288186037,inv,add,mul,mul,-0.00042015873629550375,add,-0.8168214252377938,mul,0.8665825418917138,x_0,add,28.998003553497693,mul,-30.002040329201677,add,-0.8168214252377938,mul,0.8665825418917138,x_0,add,-0.009644552635993064,mul,0.02443530275350663,add,-1.9055441375108872,mul,0.38730634142297116,x_1",BFGS,142.4130177,(-8.66121185493387e-05 add (0.6316857189615019 mul inv(((0.010331099322645386 add (0.00894421997346179 mul inv((0.8167587078143682 add (-0.8168214252377938 add (0.8665825418917138 mul x_0)))))) mul (-8.806534887938112e-05 add (-0.5787544288186037 mul inv((((-0.00042015873629550375 mul (-0.8168214252377938 add (0.8665825418917138 mul x_0))) mul (28.998003553497693 add (-30.002040329201677 mul (-0.8168214252377938 add (0.8665825418917138 mul x_0))))) add (-0.009644552635993064 add (0.02443530275350663 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))))))))))),0.999999054,0,0,0,0,50,0.999999992,1,0,0,1,50,2,119
