formula,problem,target_noise,predicted_tree,predicted_tree_prefix,refinement_type,time,relabed_predicted_tree,r2_fit,accuracy_l1_biggio_fit,accuracy_l1_1e-3_fit,accuracy_l1_1e-2_fit,accuracy_l1_1e-1_fit,_complexity_fit,r2_predict,accuracy_l1_biggio_predict,accuracy_l1_1e-3_predict,accuracy_l1_1e-2_predict,accuracy_l1_1e-1_predict,_complexity_predict,input_dimension,num_evals
r*F*sin(theta),feynman_I_18_12,0,(((2.5999386784706893 add (-2.5999386749034405 add (0.8650183732215543 mul x_0))) mul (-0.10809461112972672 add (-0.04160455363707457 mul (-2.5981436868476875 add (0.8656063975050925 mul x_1))))) mul (-3.3122961299282654e-07 add (-32.10061373669512 mul sin((0.6472441387947799 add (-1.442026372143513 mul (-1.7297523704561564 add (0.6934686006532053 mul x_2)))))))),"mul,mul,add,2.5999386784706893,add,-2.5999386749034405,mul,0.8650183732215543,x_0,add,-0.10809461112972672,mul,-0.04160455363707457,add,-2.5981436868476875,mul,0.8656063975050925,x_1,add,-3.3122961299282654e-07,mul,-32.10061373669512,sin,add,0.6472441387947799,mul,-1.442026372143513,add,-1.7297523704561564,mul,0.6934686006532053,x_2",BFGS,94.8321352,(((2.5999386784706893 add (-2.5999386749034405 add (0.8650183732215543 mul x_0))) mul (-0.10809461112972672 add (-0.04160455363707457 mul (-2.5981436868476875 add (0.8656063975050925 mul x_1))))) mul (-3.3122961299282654e-07 add (-32.10061373669512 mul sin((0.6472441387947799 add (-1.442026372143513 mul (-1.7297523704561564 add (0.6934686006532053 mul x_2)))))))),1,1,1,1,1,32,1,1,1,1,1,32,3,71
m*r*v*sin(theta),feynman_I_18_14,0,((2.0122231356146743 add (0.772686517511678 mul (-2.604190818436706 add (0.8651748791928027 mul x_0)))) mul (((2.601498507967703 add (-2.6014985047656314 add (0.8660213747337493 mul x_2))) mul (-0.10639732476015157 add (-0.040997812611899165 mul (-2.5951951562276143 add (0.8650452830497479 mul x_1))))) mul (-3.5810738555590265e-07 add (48.70399913196584 mul sin((-0.140320876087477 add (1.1558737522057514 mul (-2.596539448894402 add (0.8651463938635205 mul x_3))))))))),"mul,add,2.0122231356146743,mul,0.772686517511678,add,-2.604190818436706,mul,0.8651748791928027,x_0,mul,mul,add,2.601498507967703,add,-2.6014985047656314,mul,0.8660213747337493,x_2,add,-0.10639732476015157,mul,-0.040997812611899165,add,-2.5951951562276143,mul,0.8650452830497479,x_1,add,-3.5810738555590265e-07,mul,48.70399913196584,sin,add,-0.140320876087477,mul,1.1558737522057514,add,-2.596539448894402,mul,0.8651463938635205,x_3",BFGS,144.6525655,((2.0122231356146743 add (0.772686517511678 mul (-2.604190818436706 add (0.8651748791928027 mul x_0)))) mul (((2.601498507967703 add (-2.6014985047656314 add (0.8660213747337493 mul x_2))) mul (-0.10639732476015157 add (-0.040997812611899165 mul (-2.5951951562276143 add (0.8650452830497479 mul x_1))))) mul (-3.5810738555590265e-07 add (48.70399913196584 mul sin((-0.140320876087477 add (1.1558737522057514 mul (-2.596539448894402 add (0.8651463938635205 mul x_3))))))))),1,1,1,1,1,42,1,1,1,1,1,42,4,91
(m1*r1+m2*r2)/(m1+m2),feynman_I_18_4,0,((2.9980335996861616 add (1.1548094543520588 mul (-2.596715330255814 add (0.8656306064234216 mul x_3)))) sub (((0.003395006251258112 add (-2.6103259038537945 add (0.8691089890358606 mul x_2))) add (0.003395006251192189 add (-1.0038100498691689 mul (-2.596715330255814 add (0.8656306064234216 mul x_3))))) mul (((0.0017585419410537924 mul (-2.606291191115007 add (0.8671700793717804 mul x_1))) mul (64.84456435226588 add (-13.28416640491454 mul (-2.606291191115007 add (0.8671700793717804 mul x_1))))) add ((0.007957610649075918 add (0.0025545286530776236 mul (-2.597484271616687 add (0.8657521205590084 mul x_0)))) mul (-72.16136366613348 add (8.871638370543222 mul (-2.597484271616687 add (0.8657521205590084 mul x_0)))))))),"sub,add,2.9980335996861616,mul,1.1548094543520588,add,-2.596715330255814,mul,0.8656306064234216,x_3,mul,add,add,0.003395006251258112,add,-2.6103259038537945,mul,0.8691089890358606,x_2,add,0.003395006251192189,mul,-1.0038100498691689,add,-2.596715330255814,mul,0.8656306064234216,x_3,add,mul,mul,0.0017585419410537924,add,-2.606291191115007,mul,0.8671700793717804,x_1,add,64.84456435226588,mul,-13.28416640491454,add,-2.606291191115007,mul,0.8671700793717804,x_1,mul,add,0.007957610649075918,mul,0.0025545286530776236,add,-2.597484271616687,mul,0.8657521205590084,x_0,add,-72.16136366613348,mul,8.871638370543222,add,-2.597484271616687,mul,0.8657521205590084,x_0",BFGS,256.2212255,((2.9980335996861616 add (1.1548094543520588 mul (-2.596715330255814 add (0.8656306064234216 mul x_3)))) sub (((0.003395006251258112 add (-2.6103259038537945 add (0.8691089890358606 mul x_2))) add (0.003395006251192189 add (-1.0038100498691689 mul (-2.596715330255814 add (0.8656306064234216 mul x_3))))) mul (((0.0017585419410537924 mul (-2.606291191115007 add (0.8671700793717804 mul x_1))) mul (64.84456435226588 add (-13.28416640491454 mul (-2.606291191115007 add (0.8671700793717804 mul x_1))))) add ((0.007957610649075918 add (0.0025545286530776236 mul (-2.597484271616687 add (0.8657521205590084 mul x_0)))) mul (-72.16136366613348 add (8.871638370543222 mul (-2.597484271616687 add (0.8657521205590084 mul x_0)))))))),0.99978213,1,0,1,1,65,0.999778724,1,0,1,1,65,4,125
1/2*m*(omega**2+omega_0**2)*1/2*x**2,feynman_I_24_6,0,((((3.456848734809016 add (-3.4568487368306378 add (1.7272856250313546 mul x_0))) mul ((0.4351730320073429 add (0.004847692880433957 mul ((9.545262454053532 add (2.7438475951132015 mul (-3.4787873889949394 add (1.7412336024497248 mul x_2)))))**2)) sub ((0.022412777174000583 add (0.0032420740452570743 mul (-3.470565522750022 add (1.7359279126222302 mul x_1)))) mul (-0.31750202924333015 add (-11.32616390770245 mul (-3.470565522750022 add (1.7359279126222302 mul x_1))))))) mul (0.6098350652527827 add (0.17533970187392223 mul (-3.479193651950297 add (1.7336156647695629 mul x_3))))) mul (8.638649868444494 add (2.48210838494971 mul (-3.479193651950297 add (1.7336156647695629 mul x_3))))),"mul,mul,mul,add,3.456848734809016,add,-3.4568487368306378,mul,1.7272856250313546,x_0,sub,add,0.4351730320073429,mul,0.004847692880433957,pow2,add,9.545262454053532,mul,2.7438475951132015,add,-3.4787873889949394,mul,1.7412336024497248,x_2,mul,add,0.022412777174000583,mul,0.0032420740452570743,add,-3.470565522750022,mul,1.7359279126222302,x_1,add,-0.31750202924333015,mul,-11.32616390770245,add,-3.470565522750022,mul,1.7359279126222302,x_1,add,0.6098350652527827,mul,0.17533970187392223,add,-3.479193651950297,mul,1.7336156647695629,x_3,add,8.638649868444494,mul,2.48210838494971,add,-3.479193651950297,mul,1.7336156647695629,x_3",BFGS,307.6790624,((((3.456848734809016 add (-3.4568487368306378 add (1.7272856250313546 mul x_0))) mul ((0.4351730320073429 add (0.004847692880433957 mul ((9.545262454053532 add (2.7438475951132015 mul (-3.4787873889949394 add (1.7412336024497248 mul x_2)))))**2)) sub ((0.022412777174000583 add (0.0032420740452570743 mul (-3.470565522750022 add (1.7359279126222302 mul x_1)))) mul (-0.31750202924333015 add (-11.32616390770245 mul (-3.470565522750022 add (1.7359279126222302 mul x_1))))))) mul (0.6098350652527827 add (0.17533970187392223 mul (-3.479193651950297 add (1.7336156647695629 mul x_3))))) mul (8.638649868444494 add (2.48210838494971 mul (-3.479193651950297 add (1.7336156647695629 mul x_3))))),1,1,1,1,1,62,1,1,1,1,1,62,4,131
q/C,feynman_I_25_13,0,((-7.968055595175459e-06 add (-0.8698598341918431 mul inv((2.5970940577163124 add (-2.597143320528879 add (0.8657464698986667 mul x_1)))))) mul (-2.9903865395975493 add (-1.1490181698868205 mul (-2.6024562775362763 add (0.8661232316691354 mul x_0))))),"mul,add,-7.968055595175459e-06,mul,-0.8698598341918431,inv,add,2.5970940577163124,add,-2.597143320528879,mul,0.8657464698986667,x_1,add,-2.9903865395975493,mul,-1.1490181698868205,add,-2.6024562775362763,mul,0.8661232316691354,x_0",BFGS,62.92434645,((-7.968055595175459e-06 add (-0.8698598341918431 mul inv((2.5970940577163124 add (-2.597143320528879 add (0.8657464698986667 mul x_1)))))) mul (-2.9903865395975493 add (-1.1490181698868205 mul (-2.6024562775362763 add (0.8661232316691354 mul x_0))))),0.999999999,1,1,1,1,22,0.999999999,1,1,1,1,22,2,51
arcsin(n*sin(theta2)),feynman_I_26_2,0,(((0.15933959013625876 mul (-2.6020214174463456 add (0.8665784885574587 mul x_1))) mul (213.06189875404877 add (122.09640577036367 mul (-1.737954004757795 add (3.4712029048548634 mul x_0))))) add ((4.611449658761642 add (2.6413703320848256 mul (-1.737954004757795 add (3.4712029048548634 mul x_0)))) mul (-0.9356148314443826 add (-56.20955314675015 mul sin(((0.001901804846052147 add (-0.014979745082383316 mul (-2.6020214174463456 add (0.8665784885574587 mul x_1)))) mul (-8.891165644884095 add (-0.013708517745627513 mul (-1.737954004757795 add (3.4712029048548634 mul x_0)))))))))),"add,mul,mul,0.15933959013625876,add,-2.6020214174463456,mul,0.8665784885574587,x_1,add,213.06189875404877,mul,122.09640577036367,add,-1.737954004757795,mul,3.4712029048548634,x_0,mul,add,4.611449658761642,mul,2.6413703320848256,add,-1.737954004757795,mul,3.4712029048548634,x_0,add,-0.9356148314443826,mul,-56.20955314675015,sin,mul,add,0.001901804846052147,mul,-0.014979745082383316,add,-2.6020214174463456,mul,0.8665784885574587,x_1,add,-8.891165644884095,mul,-0.013708517745627513,add,-1.737954004757795,mul,3.4712029048548634,x_0",BFGS,250.2207949,(((0.15933959013625876 mul (-2.6020214174463456 add (0.8665784885574587 mul x_1))) mul (213.06189875404877 add (122.09640577036367 mul (-1.737954004757795 add (3.4712029048548634 mul x_0))))) add ((4.611449658761642 add (2.6413703320848256 mul (-1.737954004757795 add (3.4712029048548634 mul x_0)))) mul (-0.9356148314443826 add (-56.20955314675015 mul sin(((0.001901804846052147 add (-0.014979745082383316 mul (-2.6020214174463456 add (0.8665784885574587 mul x_1)))) mul (-8.891165644884095 add (-0.013708517745627513 mul (-1.737954004757795 add (3.4712029048548634 mul x_0)))))))))),0.998254196,0,0,0,0,52,0.998243464,0,0,0,0,52,2,111
1/(1/d1+n/d2),feynman_I_27_6,0,((1.547670524684382e-05 add (-8.956449422907757e-06 mul (-2.5969997246247227 add (0.8653198443555942 mul x_0)))) sub (((-0.08697033719131976 add (-2.59600306117153 add (0.8679801109810973 mul x_1))) add (2.683029662877989 add (0.0001161445445426114 mul (-2.5969997246247227 add (0.8653198443555942 mul x_0))))) mul (3.548794993615061e-06 add (-1.8916010060703754 mul inv(((4.928965642150461 add (1.8938082990205238 mul (-2.6022542943560794 add (0.8670109149573777 mul x_2)))) add ((9.834656401399314e-07 add (-0.10550473371801046 mul inv((2.5965498523923167 add (-2.5969997246247227 add (0.8653198443555942 mul x_0)))))) mul (-40.24940231983445 add (-15.510391254268054 mul (-2.59600306117153 add (0.8679801109810973 mul x_1))))))))))),"sub,add,1.547670524684382e-05,mul,-8.956449422907757e-06,add,-2.5969997246247227,mul,0.8653198443555942,x_0,mul,add,add,-0.08697033719131976,add,-2.59600306117153,mul,0.8679801109810973,x_1,add,2.683029662877989,mul,0.0001161445445426114,add,-2.5969997246247227,mul,0.8653198443555942,x_0,add,3.548794993615061e-06,mul,-1.8916010060703754,inv,add,add,4.928965642150461,mul,1.8938082990205238,add,-2.6022542943560794,mul,0.8670109149573777,x_2,mul,add,9.834656401399314e-07,mul,-0.10550473371801046,inv,add,2.5965498523923167,add,-2.5969997246247227,mul,0.8653198443555942,x_0,add,-40.24940231983445,mul,-15.510391254268054,add,-2.59600306117153,mul,0.8679801109810973,x_1",BFGS,334.3896317,((1.547670524684382e-05 add (-8.956449422907757e-06 mul (-2.5969997246247227 add (0.8653198443555942 mul x_0)))) sub (((-0.08697033719131976 add (-2.59600306117153 add (0.8679801109810973 mul x_1))) add (2.683029662877989 add (0.0001161445445426114 mul (-2.5969997246247227 add (0.8653198443555942 mul x_0))))) mul (3.548794993615061e-06 add (-1.8916010060703754 mul inv(((4.928965642150461 add (1.8938082990205238 mul (-2.6022542943560794 add (0.8670109149573777 mul x_2)))) add ((9.834656401399314e-07 add (-0.10550473371801046 mul inv((2.5965498523923167 add (-2.5969997246247227 add (0.8653198443555942 mul x_0)))))) mul (-40.24940231983445 add (-15.510391254268054 mul (-2.59600306117153 add (0.8679801109810973 mul x_1))))))))))),0.999999999,1,1,1,1,65,0.999999999,1,1,1,1,65,3,141
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),feynman_I_29_16,0,(((((4.633637097279812 add (-2.603109604346756 add (0.8685062098579972 mul x_1))) sub (0.4663629027208136 add (0.6811174918954201 mul (-2.5919370670458615 add (0.8639539429288716 mul x_0))))) mul (0.009764466347450089 add (0.00392241667809682 mul (-2.5919370670458615 add (0.8639539429288716 mul x_0))))) mul (-7.50313420681276 add (1.3124206527137459 mul abs((-0.45343358930665123 add (99.90936820329391 mul sin(((0.033367216967990304 add (-0.5494543109488709 mul (-2.591286161757138 add (0.8643439442929578 mul x_3)))) add (-0.02663278303198961 add (0.5442253310711135 mul (-2.5966277942129428 add (0.8663109699125291 mul x_2)))))))))))) sub (-0.436779486419165 add (-0.013224333383732825 mul abs(((1.1184275940738941 add (-49.77709825981017 mul (-2.603109604346756 add (0.8685062098579972 mul x_1)))) add (1.138427594073797 add (62.23254533277292 mul (-2.5919370670458615 add (0.8639539429288716 mul x_0))))))))),"sub,mul,mul,sub,add,4.633637097279812,add,-2.603109604346756,mul,0.8685062098579972,x_1,add,0.4663629027208136,mul,0.6811174918954201,add,-2.5919370670458615,mul,0.8639539429288716,x_0,add,0.009764466347450089,mul,0.00392241667809682,add,-2.5919370670458615,mul,0.8639539429288716,x_0,add,-7.50313420681276,mul,1.3124206527137459,abs,add,-0.45343358930665123,mul,99.90936820329391,sin,add,add,0.033367216967990304,mul,-0.5494543109488709,add,-2.591286161757138,mul,0.8643439442929578,x_3,add,-0.02663278303198961,mul,0.5442253310711135,add,-2.5966277942129428,mul,0.8663109699125291,x_2,add,-0.436779486419165,mul,-0.013224333383732825,abs,add,add,1.1184275940738941,mul,-49.77709825981017,add,-2.603109604346756,mul,0.8685062098579972,x_1,add,1.138427594073797,mul,62.23254533277292,add,-2.5919370670458615,mul,0.8639539429288716,x_0",BFGS,484.6506469,(((((4.633637097279812 add (-2.603109604346756 add (0.8685062098579972 mul x_1))) sub (0.4663629027208136 add (0.6811174918954201 mul (-2.5919370670458615 add (0.8639539429288716 mul x_0))))) mul (0.009764466347450089 add (0.00392241667809682 mul (-2.5919370670458615 add (0.8639539429288716 mul x_0))))) mul (-7.50313420681276 add (1.3124206527137459 mul abs((-0.45343358930665123 add (99.90936820329391 mul sin(((0.033367216967990304 add (-0.5494543109488709 mul (-2.591286161757138 add (0.8643439442929578 mul x_3)))) add (-0.02663278303198961 add (0.5442253310711135 mul (-2.5966277942129428 add (0.8663109699125291 mul x_2)))))))))))) sub (-0.436779486419165 add (-0.013224333383732825 mul abs(((1.1184275940738941 add (-49.77709825981017 mul (-2.603109604346756 add (0.8685062098579972 mul x_1)))) add (1.138427594073797 add (62.23254533277292 mul (-2.5919370670458615 add (0.8639539429288716 mul x_0))))))))),0.985836934,0,0,0,0,82,0.985582285,0,0,0,0,82,4,187
omega/c,feynman_I_29_4,0,((-1.5001757183915122e-08 add (0.08357019025689263 mul inv((2.110201823869637 add (-2.1102020265364008 add (0.38397747266509114 mul x_1)))))) mul (25.333871378859953 add (11.942295712617769 mul (-2.1213573365347966 add (0.3847393251231863 mul x_0))))),"mul,add,-1.5001757183915122e-08,mul,0.08357019025689263,inv,add,2.110201823869637,add,-2.1102020265364008,mul,0.38397747266509114,x_1,add,25.333871378859953,mul,11.942295712617769,add,-2.1213573365347966,mul,0.3847393251231863,x_0",BFGS,59.78413057,((-1.5001757183915122e-08 add (0.08357019025689263 mul inv((2.110201823869637 add (-2.1102020265364008 add (0.38397747266509114 mul x_1)))))) mul (25.333871378859953 add (11.942295712617769 mul (-2.1213573365347966 add (0.3847393251231863 mul x_0))))),1,1,1,1,1,22,1,1,1,1,1,22,2,51
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,feynman_I_30_3,0,(0.023859195930404652 add ((-0.13814987416650196 add (-0.13806987415315441 add (-0.11527404305330069 mul (((0.036206119021408995 add (7.609181718452088e-05 mul (-2.6039494442762443 add (0.8683444195458252 mul x_0)))) mul ((46.0247234416774 add (-94.39595550785464 mul cos(((0.11273237260443723 add (0.04379997898613819 mul (-2.589983501203058 add (0.8669758591003153 mul x_2)))) mul (79.64868284813035 add (30.540762761141842 mul (-2.606986528818559 add (0.8670621332769533 mul x_1)))))))) add (46.04472344151756 add (0.5050080881068977 mul ((-4.965733989980504 add (-2.4740037845995566 mul ((0.01887056761808822 add (-0.48743998280127104 mul abs((0.3305098208796862 add (-2.7005585869819875 mul (-2.606986528818559 add (0.8670621332769533 mul x_1))))))))**2)))**2)))))**2))) mul (-0.5533567257928832 add (-0.2105829945888539 mul (-2.6039494442762443 add (0.8683444195458252 mul x_0)))))),"add,0.023859195930404652,mul,add,-0.13814987416650196,add,-0.13806987415315441,mul,-0.11527404305330069,pow2,mul,add,0.036206119021408995,mul,7.609181718452088e-05,add,-2.6039494442762443,mul,0.8683444195458252,x_0,add,add,46.0247234416774,mul,-94.39595550785464,cos,mul,add,0.11273237260443723,mul,0.04379997898613819,add,-2.589983501203058,mul,0.8669758591003153,x_2,add,79.64868284813035,mul,30.540762761141842,add,-2.606986528818559,mul,0.8670621332769533,x_1,add,46.04472344151756,mul,0.5050080881068977,pow2,add,-4.965733989980504,mul,-2.4740037845995566,pow2,add,0.01887056761808822,mul,-0.48743998280127104,abs,add,0.3305098208796862,mul,-2.7005585869819875,add,-2.606986528818559,mul,0.8670621332769533,x_1,add,-0.5533567257928832,mul,-0.2105829945888539,add,-2.6039494442762443,mul,0.8683444195458252,x_0",BFGS,560.3508089,(0.023859195930404652 add ((-0.13814987416650196 add (-0.13806987415315441 add (-0.11527404305330069 mul (((0.036206119021408995 add (7.609181718452088e-05 mul (-2.6039494442762443 add (0.8683444195458252 mul x_0)))) mul ((46.0247234416774 add (-94.39595550785464 mul cos(((0.11273237260443723 add (0.04379997898613819 mul (-2.589983501203058 add (0.8669758591003153 mul x_2)))) mul (79.64868284813035 add (30.540762761141842 mul (-2.606986528818559 add (0.8670621332769533 mul x_1)))))))) add (46.04472344151756 add (0.5050080881068977 mul ((-4.965733989980504 add (-2.4740037845995566 mul ((0.01887056761808822 add (-0.48743998280127104 mul abs((0.3305098208796862 add (-2.7005585869819875 mul (-2.606986528818559 add (0.8670621332769533 mul x_1))))))))**2)))**2)))))**2))) mul (-0.5533567257928832 add (-0.2105829945888539 mul (-2.6039494442762443 add (0.8683444195458252 mul x_0)))))),0.979085732,0,0,0,0,78,0.979776152,0,0,0,0,78,3,207
arcsin(lambd/(n*d)),feynman_I_30_5,0,((-0.007931668322909752 add (-0.000843231892159923 mul (-2.599336489438502 add (0.8661745933574716 mul x_2)))) sub ((0.004430285833379712 add (0.0007630955091586359 mul (-5.203420920831219 add (3.462916984591698 mul x_0)))) mul (-3.1998435142266395 add (-9.000095761126998 mul inv((((0.0339067876460074 add (0.008420368921121075 mul (-4.055404787316975 add (1.155735815543773 mul x_1)))) mul (8.859723775817942 add (3.4079677651122675 mul (-2.599336489438502 add (0.8661745933574716 mul x_2))))) sub (0.00833372587874729 add (0.0031877523061636555 mul (-5.203420920831219 add (3.462916984591698 mul x_0)))))))))),"sub,add,-0.007931668322909752,mul,-0.000843231892159923,add,-2.599336489438502,mul,0.8661745933574716,x_2,mul,add,0.004430285833379712,mul,0.0007630955091586359,add,-5.203420920831219,mul,3.462916984591698,x_0,add,-3.1998435142266395,mul,-9.000095761126998,inv,sub,mul,add,0.0339067876460074,mul,0.008420368921121075,add,-4.055404787316975,mul,1.155735815543773,x_1,add,8.859723775817942,mul,3.4079677651122675,add,-2.599336489438502,mul,0.8661745933574716,x_2,add,0.00833372587874729,mul,0.0031877523061636555,add,-5.203420920831219,mul,3.462916984591698,x_0",BFGS,202.067425,((-0.007931668322909752 add (-0.000843231892159923 mul (-2.599336489438502 add (0.8661745933574716 mul x_2)))) sub ((0.004430285833379712 add (0.0007630955091586359 mul (-5.203420920831219 add (3.462916984591698 mul x_0)))) mul (-3.1998435142266395 add (-9.000095761126998 mul inv((((0.0339067876460074 add (0.008420368921121075 mul (-4.055404787316975 add (1.155735815543773 mul x_1)))) mul (8.859723775817942 add (3.4079677651122675 mul (-2.599336489438502 add (0.8661745933574716 mul x_2))))) sub (0.00833372587874729 add (0.0031877523061636555 mul (-5.203420920831219 add (3.462916984591698 mul x_0)))))))))),0.999847427,1,0,0,1,54,0.999870589,1,0,0,1,54,3,119
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),feynman_I_32_17,0,((-0.12317590492673647 add (((0.1881092261173605 add (0.0839664702978087 mul (-6.903828099946883 add (1.7272788222315183 mul x_5)))) sub ((0.21803504429821313 add (0.028460271309408026 mul (-5.211942737634536 add (3.4727231536517533 mul x_3)))) mul ((0.04275661828907406 add (0.005638284578712659 mul (-5.182165552397013 add (3.455750212101267 mul x_2)))) mul (((17.520141334693676 add (-5.196486832067701 add (3.4666491530608896 mul x_0))) sub (2.6798586653138297 add (-0.9997009388642643 mul (-5.193002741864489 add (3.4648050030479145 mul x_1))))) mul (5.3655604627401585 add (-9.38945061954204 mul inv(((0.12461836220438624 add (0.129832778187599 mul (-6.903828099946883 add (1.7272788222315183 mul x_5)))) add (0.19361836220445283 add ((0.665801966391957 add (-0.09607813564457279 mul (-5.204495032005416 add (3.4685389818869474 mul x_4)))))**2))))))))))**3) add (-0.12017590492615893 add (-0.010332031076370539 mul (-5.182165552397013 add (3.455750212101267 mul x_2))))),"add,add,-0.12317590492673647,pow3,sub,add,0.1881092261173605,mul,0.0839664702978087,add,-6.903828099946883,mul,1.7272788222315183,x_5,mul,add,0.21803504429821313,mul,0.028460271309408026,add,-5.211942737634536,mul,3.4727231536517533,x_3,mul,add,0.04275661828907406,mul,0.005638284578712659,add,-5.182165552397013,mul,3.455750212101267,x_2,mul,sub,add,17.520141334693676,add,-5.196486832067701,mul,3.4666491530608896,x_0,add,2.6798586653138297,mul,-0.9997009388642643,add,-5.193002741864489,mul,3.4648050030479145,x_1,add,5.3655604627401585,mul,-9.38945061954204,inv,add,add,0.12461836220438624,mul,0.129832778187599,add,-6.903828099946883,mul,1.7272788222315183,x_5,add,0.19361836220445283,pow2,add,0.665801966391957,mul,-0.09607813564457279,add,-5.204495032005416,mul,3.4685389818869474,x_4,add,-0.12017590492615893,mul,-0.010332031076370539,add,-5.182165552397013,mul,3.455750212101267,x_2",BFGS,573.6261859,((-0.12317590492673647 add (((0.1881092261173605 add (0.0839664702978087 mul (-6.903828099946883 add (1.7272788222315183 mul x_5)))) sub ((0.21803504429821313 add (0.028460271309408026 mul (-5.211942737634536 add (3.4727231536517533 mul x_3)))) mul ((0.04275661828907406 add (0.005638284578712659 mul (-5.182165552397013 add (3.455750212101267 mul x_2)))) mul (((17.520141334693676 add (-5.196486832067701 add (3.4666491530608896 mul x_0))) sub (2.6798586653138297 add (-0.9997009388642643 mul (-5.193002741864489 add (3.4648050030479145 mul x_1))))) mul (5.3655604627401585 add (-9.38945061954204 mul inv(((0.12461836220438624 add (0.129832778187599 mul (-6.903828099946883 add (1.7272788222315183 mul x_5)))) add (0.19361836220445283 add ((0.665801966391957 add (-0.09607813564457279 mul (-5.204495032005416 add (3.4685389818869474 mul x_4)))))**2))))))))))**3) add (-0.12017590492615893 add (-0.010332031076370539 mul (-5.182165552397013 add (3.455750212101267 mul x_2))))),0.998790897,0,0,0,0,88,0.998743007,0,0,0,0,88,6,191
q**2*a**2/(6*pi*epsilon*c**3),feynman_I_32_5,0,(((0.00789462065706704 mul inv(((0.007192891488021605 add (0.0027756374325011604 mul (-2.5914377285636383 add (0.864544253635127 mul x_2)))) mul (5.676077079618876e-08 add ((-2.094194096133404 add (-0.8055663143051355 mul (-2.5996544246858218 add (0.8674116463206913 mul x_3)))))**3)))) mul (2.1941768022407467e-08 add (-0.00393395258172068 mul (((0.1676942329550683 add (0.06447794644257157 mul (-2.600799788558827 add (0.8670311100046788 mul x_0)))) mul (63.44578570178855 add (24.38277823258078 mul (-2.6020735991651076 add (0.8675709232232404 mul x_1))))))**2))) add (1.9109845966632078e-12 add (2.8046491965129026e-09 mul (-2.5996544246858218 add (0.8674116463206913 mul x_3))))),"add,mul,mul,0.00789462065706704,inv,mul,add,0.007192891488021605,mul,0.0027756374325011604,add,-2.5914377285636383,mul,0.864544253635127,x_2,add,5.676077079618876e-08,pow3,add,-2.094194096133404,mul,-0.8055663143051355,add,-2.5996544246858218,mul,0.8674116463206913,x_3,add,2.1941768022407467e-08,mul,-0.00393395258172068,pow2,mul,add,0.1676942329550683,mul,0.06447794644257157,add,-2.600799788558827,mul,0.8670311100046788,x_0,add,63.44578570178855,mul,24.38277823258078,add,-2.6020735991651076,mul,0.8675709232232404,x_1,add,1.9109845966632078e-12,mul,2.8046491965129026e-09,add,-2.5996544246858218,mul,0.8674116463206913,x_3",BFGS,354.0177209,(((0.00789462065706704 mul inv(((0.007192891488021605 add (0.0027756374325011604 mul (-2.5914377285636383 add (0.864544253635127 mul x_2)))) mul (5.676077079618876e-08 add ((-2.094194096133404 add (-0.8055663143051355 mul (-2.5996544246858218 add (0.8674116463206913 mul x_3)))))**3)))) mul (2.1941768022407467e-08 add (-0.00393395258172068 mul (((0.1676942329550683 add (0.06447794644257157 mul (-2.600799788558827 add (0.8670311100046788 mul x_0)))) mul (63.44578570178855 add (24.38277823258078 mul (-2.6020735991651076 add (0.8675709232232404 mul x_1))))))**2))) add (1.9109845966632078e-12 add (2.8046491965129026e-09 mul (-2.5996544246858218 add (0.8674116463206913 mul x_3))))),1,1,1,1,1,60,1,1,1,1,1,60,4,139
